species
Abert's Towhee
Acorn Woodpecker
Allen's Hummingbird
American Avocet
American Black Duck
American Coot
American Crow
American Dipper
American Goldfinch
American Kestrel
American Oystercatcher
American Pipit
American Redstart
American Robin
American Tree Sparrow
American White Pelican
American Wigeon
American Woodcock
Anhinga
Anna's Hummingbird
Ash-throated Flycatcher
Bald Eagle
Baltimore Oriole
Band-tailed Pigeon
Bank Swallow
Barn Owl
Barn Swallow
Barred Owl
Barrow's Goldeneye
Bay-breasted Warbler
Bell's Vireo
Belted Kingfisher
Bewick's Wren
Black Guillemot
Black Oystercatcher
Black Phoebe
Black Rosy-Finch
Black Scoter
Black Skimmer
Black Tern
Black Turnstone
Black Vulture
Black-and-white Warbler
Black-bellied Plover
Black-bellied Whistling-Duck
Black-billed Cuckoo
Black-billed Magpie
Black-capped Chickadee
Black-chinned Hummingbird
Black-crested Titmouse
Black-crowned Night-Heron
Black-headed Grosbeak
Black-legged Kittiwake
Black-necked Stilt
Black-tailed Gnatcatcher
Black-throated Blue Warbler
Black-throated Gray Warbler
Black-throated Green Warbler
Blackburnian Warbler
Blackpoll Warbler
Blue Grosbeak
Blue Jay
Blue-gray Gnatcatcher
Blue-headed Vireo
Blue-winged Teal
Blue-winged Warbler
Boat-tailed Grackle
Bobolink
Bohemian Waxwing
Bonaparte's Gull
Boreal Chickadee
Brandt's Cormorant
Brant
Brewer's Blackbird
Brewer's Sparrow
Bridled Titmouse
Broad-billed Hummingbird
Broad-tailed Hummingbird
Broad-winged Hawk
Bronzed Cowbird
Brown Creeper
Brown Pelican
Brown Thrasher
Brown-capped Rosy-Finch
Brown-headed Cowbird
Brown-headed Nuthatch
Bufflehead
Bullock's Oriole
Burrowing Owl
Bushtit
Cackling Goose
Cactus Wren
California Gull
California Quail
California Thrasher
California Towhee
Calliope Hummingbird
Canada Goose
Canada Warbler
Canvasback
Canyon Towhee
Canyon Wren
Cape May Warbler
Carolina Chickadee
Carolina Wren
Caspian Tern
Cassin's Finch
Cassin's Kingbird
Cassin's Vireo
Cattle Egret
Cave Swallow
Cedar Waxwing
Chestnut-backed Chickadee
Chestnut-sided Warbler
Chihuahuan Raven
Chimney Swift
Chipping Sparrow
Cinnamon Teal
Clark's Grebe
Clark's Nutcracker
Clay-colored Sparrow
Cliff Swallow
