species
American Crow
American Goldfinch
American Kestrel
American Redstart
American Robin
American Woodcock
Bald Eagle
Baltimore Orioles
Barn Swallow
Barred Owl
Belted Kingfisher
Black Vulture
Black-and-white Warbler
Black-capped Chickadee
Blue Jay
Brown Creeper
Brown Thrasher
Brown-headed Cowbird
Canada Goose
Carolina Chickadee
Carolina Wren
Cedar Waxwing
Chimney Swift
Chipping Sparrow
Common Grackle
Common Loon
Common Merganser
Common Nighthawk
Common Raven
Common Yellowthroat
Cooper's Hawk
Dark-eyed Junco
Double-crested Cormorant
Downy Woodpecker
Eastern Bluebird
Eastern Kingbird
Eastern Meadowlark
Eastern Phoebe
Eastern Screech Owl
Eastern Towhee
Eastern Wood-Pewee
European Starling
Field Sparrow
Fish Crow
Golden-crowned Kinglet
Great Blue Heron
Great Crested Flycatcher
Great Egret
Great Horned Owl
Green Heron
Grey Catbird
Hairy Woodpecker
Hermit Thrush
Hooded Merganser
House Finch
House Sparrow
House Wren
Indigo Bunting
Killdeer
Laughing Gull
Mallard
Mourning Dove
Mute Swan
Northern Cardinal
Northern Flicker
Northern Mockingbird
Osprey
Ovenbird
Pileated Woodpecker
Purple Martin
Red-bellied Woodpecker
Red-breasted Nuthatch
Red-eyed Vireo
Red-headed Woodpecker
Red-tailed Hawk
Red-winged Blackbird
Rock Pigeon
Rose-breasted Grosbeak
Ruby-crowned Kinglet
Ruby-throated Hummingbird
Ruffed Grouse
Scarlet Tanager
Snow Goose
Song Sparrow
Tree Swallow
Tufted Titmouse
Turkey Vulture
Warbling Vireo
White-breasted Nuthatch
White-throated Sparrow
Wild Turkey
Winter Wren
Wood Duck
Wood Thrush
Yellow Warbler
Yellow-bellied Sapsucker
Yellow-billed Cuckoo
Yellow-rumped Warbler
